Make,Type,Asset Code,Category,Sub-Category,Model Number,Serial No.
Airtel,MIFI,PNT/DNIO/11,Accessories,Interent and Communication Devices,,
Apple,Magic Mouse,,Accessories,Computer accessories,,13MCCXPXY3144584
Apple,Magic Keyboard,,Accessories,Computer accessories,,5J9DCDFKA667Y113C
"New Macbook Pro, 15 inch Charger",Macbook Charger,,Accessories,Computer accessories,,8VXQFMNS14675T47F
Logitech,Logitech Laser Pointer,PNT/AF/27,Accessories,,Logitech,18ZAF48
Logitech,Logitech Laser Pointer,PNT/AF/81,Accessories,Computer accessories,Logitech,
Logitech,Logitech Laser Pointer,PNT/AF/17,Accessories,Computer accessories,Logitech,
Logitech wireless Keyboard,Keyboards,PNT/KIJ/27,Accessories,Computer accessories,Logitech Combo Pack,
Logitech wireless Keyboard,Keyboards,PNT/KIJ/81,Accessories,Computer accessories,Logitech Combo Pack,
iPhone,Phone ,,Accessories,Other,A1688,1HM948Y81241
iPhone,Phone ,,Accessories,Other,A1633,13246IK89949
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,9SA41SOK97R7
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,5J139O8146V9
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,6T784GF152J7
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,3X15799Z49Y3
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,9SC3JG1Z86J6
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,6ZH8B4K219O1
iPhone,Phone ,,Accessories,Other,MN8G2LL/A,6667QP7587F2
Microsoft,Headsets,PNT/MH/6597,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/9983,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/8115,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/4466,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/5485,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,41ECW7OFGCSYWFAV
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,46VVG6CLMNDJL8TE
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,96BKM6FSEQWVSKNL
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,62AWY6OJDWDTSYTJ
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,44CMJ9JIHKLKKCRC
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,19DPS3DRVFSFGMUC
Eaton UPS,UPS,VLQ,Electronics,Electrical Accessories,EATON 5E 1500VA,2LBK8MWNKO
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,P83YDMQM7Z
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,J91OXYTM12
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,Z53ULWIP7O
